RK,SCHOOL,CONF,TOTAL REVENUE,TOTAL EXPENSES,TOTAL ALLOCATED,% ALLOCATED
128,Albany,Am East,"$23,502,958 ","$24,361,609 ","$18,174,536 ",77.33
129,Nebraska-Omaha,Summit,"$22,956,239 ","$20,261,523 ","$12,063,520 ",52.55
130,Southern Illinois,Mo. Valley,"$22,722,740 ","$26,785,157 ","$14,346,273 ",63.14
131,South Dakota State,Summit,"$22,075,310 ","$20,880,295 ","$8,012,013 ",36.29
132,Montana State,Big Sky,"$21,927,521 ","$20,768,973 ","$10,190,334 ",46.47
133,Vermont,Am East,"$21,889,573 ","$22,060,888 ","$16,174,319 ",73.89
134,Maine,Am East,"$20,941,860 ","$20,961,302 ","$14,181,546 ",67.72
135,California-Santa Barbara,Big West,"$20,484,071 ","$22,293,939 ","$15,689,376 ",76.59
136,College of Charleston,CAA,"$20,450,663 ","$19,931,472 ","$15,668,254 ",76.61
137,Long Beach State,Big West,"$20,258,440 ","$20,214,762 ","$13,455,529 ",66.42
138,California-Irvine,Big West,"$19,978,266 ","$20,562,643 ","$15,351,089 ",76.84
139,Massachusetts-Lowell,Am East,"$19,931,925 ","$19,656,525 ","$16,926,691 ",84.92
140,Binghamton,Am East,"$19,753,526 ","$19,139,662 ","$13,758,566 ",69.65
141,Northern Iowa,Mo. Valley,"$19,497,119 ","$18,375,024 ","$9,284,499 ",47.62
142,California-Riverside,Big West,"$19,362,719 ","$19,100,994 ","$17,034,255 ",87.97
143,South Dakota,Summit,"$19,256,962 ","$18,904,718 ","$11,958,142 ",62.1
144,East Tennessee State,Southern,"$18,870,608 ","$18,005,312 ","$13,550,570 ",71.81
145,Sam Houston State,Southland,"$18,742,450 ","$18,315,142 ","$13,511,652 ",72.09
146,California State-Fullerton,Big West,"$18,374,475 ","$18,374,475 ","$15,137,138 ",82.38
147,Northern Arizona,Big Sky,"$18,353,486 ","$18,511,105 ","$13,878,065 ",75.62
148,Illinois-Chicago,Horizon,"$18,197,670 ","$18,153,694 ","$13,557,842 ",74.5
149,California State-Northridge,Big West,"$17,987,771 ","$16,714,774 ","$14,714,419 ",81.8
150,Prairie View A&M,SWAC,"$17,851,213 ","$17,852,014 ","$13,128,636 ",73.54
151,Tennessee-Chattanooga,Southern,"$17,804,067 ","$17,804,067 ","$12,374,312 ",69.5
152,Lamar,Southland,"$17,746,157 ","$17,663,047 ","$14,516,935 ",81.8
153,Central Connecticut,Northeast,"$17,616,876 ","$17,159,124 ","$14,353,603 ",81.48
154,Citadel,Southern,"$17,610,176 ","$17,488,828 ","$10,793,876 ",61.29
155,Northern Colorado,Big Sky,"$17,289,706 ","$15,905,651 ","$11,819,303 ",68.36
156,Maryland-Baltimore Cty,Am East,"$17,217,652 ","$16,837,354 ","$13,938,512 ",80.95
157,Eastern Kentucky,Ohio Valley,"$17,024,583 ","$17,024,584 ","$13,105,268 ",76.98
158,North Carolina Greensboro,Southern,"$16,832,309 ","$16,697,946 ","$13,883,810 ",82.48
159,Jacksonville State,Ohio Valley,"$16,761,667 ","$16,761,667 ","$12,506,361 ",74.61
160,Stephen F. Austin,Southland,"$16,747,580 ","$16,866,267 ","$13,744,600 ",82.07
161,North Carolina Wilmington,CAA,"$16,443,174 ","$14,877,642 ","$10,790,947 ",65.63
162,New Jersey Tech,Atl Sun,"$16,323,383 ","$15,460,526 ","$14,334,140 ",87.81
163,Oakland,Horizon,"$16,262,483 ","$15,839,499 ","$12,639,095 ",77.72
164,Louisiana-Monroe,Sun Belt,"$16,132,421 ","$15,481,778 ","$7,213,515 ",44.71
165,Indiana State,Mo. Valley,"$16,098,113 ","$15,262,080 ","$12,703,992 ",78.92
166,Florida Gulf Coast,Atl Sun,"$15,954,757 ","$15,076,855 ","$10,294,846 ",64.53
167,California State-Bakersfield,WAC,"$15,953,381 ","$16,134,125 ","$10,972,061 ",68.78
168,Austin Peay,Ohio Valley,"$15,726,585 ","$15,122,198 ","$10,043,962 ",63.87
169,Murray State,Ohio Valley,"$15,629,362 ","$16,006,494 ","$11,176,904 ",71.51
170,Youngstown State,Horizon,"$15,410,657 ","$15,410,657 ","$10,401,241 ",67.49
171,Tennessee Tech,Ohio Valley,"$15,051,335 ","$14,253,073 ","$11,177,822 ",74.26
172,Southeastern Louisiana,Southland,"$15,027,967 ","$13,460,167 ","$9,231,824 ",61.43
173,Utah Valley,WAC,"$15,010,051 ","$13,846,291 ","$11,558,640 ",77.01
174,Missouri-Kansas City,WAC,"$14,807,781 ","$15,094,616 ","$11,457,416 ",77.37
175,Eastern Washington,Big Sky,"$14,797,340 ","$15,753,819 ","$9,753,372 ",65.91
176,Texas-Rio Grande Valley,WAC,"$14,638,376 ","$13,570,987 ","$12,428,726 ",84.91
177,Wisconsin-Milwaukee,Horizon,"$14,382,462 ","$12,696,879 ","$11,014,524 ",76.58
178,Alabama State,SWAC,"$14,374,967 ","$14,374,967 ","$10,463,940 ",72.79
179,Northern Kentucky,Horizon,"$14,213,168 ","$14,634,532 ","$12,439,551 ",87.52
180,Texas-Arlington,Sun Belt,"$14,054,524 ","$14,145,916 ","$10,583,191 ",75.3
181,Weber State,Big Sky,"$13,855,419 ","$13,776,392 ","$9,098,743 ",65.67
182,Western Carolina,Southern,"$13,723,606 ","$13,421,220 ","$8,683,872 ",63.28
183,Portland State,Big Sky,"$13,684,434 ","$13,670,695 ","$10,207,232 ",74.59
184,Norfolk State,MEAC,"$13,656,202 ","$13,656,202 ","$10,404,021 ",76.19
185,Northwestern State La,Southland,"$13,607,151 ","$12,556,828 ","$8,159,894 ",59.97
186,Central Arkansas,Southland,"$13,562,018 ","$12,840,593 ","$9,423,866 ",69.49
187,North Carolina Central,MEAC,"$13,561,933 ","$13,029,240 ","$8,307,124 ",61.25
188,Southern,SWAC,"$13,360,450 ","$13,538,874 ","$9,788,125 ",73.26
189,VMI,Southern,"$13,359,816 ","$13,221,773 ","$6,157,119 ",46.09
190,Winthrop,Big South,"$13,287,467 ","$13,878,823 ","$10,498,583 ",79.01
191,Idaho State,Big Sky,"$13,228,486 ","$13,245,509 ","$8,870,960 ",67.06
192,Southern Utah,Big Sky,"$13,143,866 ","$13,080,062 ","$8,907,617 ",67.77
193,Cleveland State,Horizon,"$13,083,041 ","$13,083,041 ","$11,076,183 ",84.66
194,North Carolina A&T,MEAC,"$13,075,494 ","$13,047,786 ","$9,387,605 ",71.8
195,Arkansas-Little Rock,Sun Belt,"$13,004,365 ","$11,893,708 ","$8,418,178 ",64.73
196,Radford,Big South,"$12,954,767 ","$12,910,385 ","$10,863,276 ",83.86
197,Texas A&M-Corpus Christi,Southland,"$12,761,032 ","$11,910,883 ","$10,228,536 ",80.15
198,Delaware State,MEAC,"$12,674,589 ","$13,663,806 ","$9,624,922 ",75.94
199,Tennessee State,Ohio Valley,"$12,481,256 ","$12,481,256 ","$9,834,643 ",78.8
200,Morehead State,Ohio Valley,"$12,147,957 ","$12,147,957 ","$10,346,029 ",85.17
201,Southeast Missouri State,Ohio Valley,"$12,072,270 ","$12,470,732 ","$8,213,912 ",68.04
202,North Florida,Atl Sun,"$12,051,332 ","$11,709,392 ","$8,541,251 ",70.87
203,Western Illinois,Summit,"$11,944,035 ","$13,027,183 ","$8,925,255 ",74.73
204,Longwood,Big South,"$11,876,406 ","$11,709,364 ","$9,985,131 ",84.08
205,McNeese State,Southland,"$11,654,790 ","$11,653,016 ","$6,388,738 ",54.82
206,Eastern Illinois,Ohio Valley,"$11,329,430 ","$12,087,294 ","$8,123,217 ",71.7
207,Tennessee-Martin,Ohio Valley,"$11,308,729 ","$11,308,729 ","$8,179,059 ",72.33
208,Morgan State,MEAC,"$11,023,152 ","$12,577,055 ","$8,934,865 ",81.06
209,Wright State,Horizon,"$10,922,076 ","$12,756,674 ","$8,577,655 ",78.54
210,Texas Southern,SWAC,"$10,899,527 ","$10,899,527 ","$8,961,264 ",82.22
211,Florida A&M,MEAC,"$10,741,985 ","$10,741,985 ","$4,605,221 ",42.87
212,Indiana-Purdue Fort Wayne,Summit,"$10,607,866 ","$10,379,794 ","$8,286,274 ",78.11
213,Indiana-Purdue Indianapolis,Summit,"$10,143,238 ","$9,663,859 ","$8,473,586 ",83.54
214,Southern Illinois Edwardsville,Ohio Valley,"$9,524,882 ","$9,039,224 ","$6,911,526 ",72.56
215,Jackson State,SWAC,"$9,466,619 ","$10,236,424 ","$4,731,558 ",49.98
216,Wisconsin-Green Bay,Horizon,"$9,390,830 ","$8,982,031 ","$4,948,008 ",52.69
217,Nicholls State,Southland,"$8,463,641 ","$8,326,628 ","$5,243,798 ",61.96
218,North Carolina Asheville,Big South,"$8,395,210 ","$8,343,404 ","$6,008,119 ",71.57
219,Arkansas-Pine Bluff,SWAC,"$7,904,735 ","$7,770,869 ","$5,665,044 ",71.67
220,Grambling State,SWAC,"$7,853,609 ","$10,019,059 ","$3,887,444 ",49.5
221,South Carolina Upstate,Atl Sun,"$7,591,880 ","$7,575,272 ","$6,382,175 ",84.07
222,South Carolina State,MEAC,"$7,232,850 ","$8,195,579 ","$3,441,735 ",47.58
223,Alcorn State,SWAC,"$6,321,380 ","$6,280,710 ","$3,864,109 ",61.13
224,Maryland-Eastern Shore,MEAC,"$5,916,647 ","$5,916,647 ","$4,456,455 ",75.32
225,New Orleans,Southland,"$5,819,807 ","$5,819,807 ","$3,972,948 ",68.27
226,Chicago State,WAC,"$5,249,433 ","$5,057,856 ","$4,248,483 ",80.93
227,Savannah State,MEAC,"$4,508,343 ","$6,150,265 ","$2,852,372 ",63.27
228,Mississippi Valley State,SWAC,"$4,332,784 ","$4,335,851 ","$2,146,526 ",49.54
229,Coppin State,MEAC,"$3,452,610 ","$4,360,469 ","$2,472,427 ",71.61
230,Alabama A&M,SWAC,"$3,293,950 ","$9,466,448 ","$342,723 ",10.4
